value,frequency,pdf,cdf
7609,1,0.00015248551387618176,0.9954254345837047
9036,1,0.00015248551387618176,0.9955779200975808
9117,1,0.00015248551387618176,0.995730405611457
9457,1,0.00015248551387618176,0.9958828911253331
9617,1,0.00015248551387618176,0.9960353766392093
10301,1,0.00015248551387618176,0.9961878621530854
10538,1,0.00015248551387618176,0.9963403476669616
10915,1,0.00015248551387618176,0.9964928331808377
10964,1,0.00015248551387618176,0.9966453186947138
11185,1,0.00015248551387618176,0.99679780420859
11438,1,0.00015248551387618176,0.9969502897224661
11754,1,0.00015248551387618176,0.9971027752363423
11895,1,0.00015248551387618176,0.9972552607502184
12329,1,0.00015248551387618176,0.9974077462640946
12406,1,0.00015248551387618176,0.9975602317779707
12686,1,0.00015248551387618176,0.9977127172918469
13178,1,0.00015248551387618176,0.997865202805723
13240,1,0.00015248551387618176,0.9980176883195991
13973,1,0.00015248551387618176,0.9981701738334753
15422,1,0.00015248551387618176,0.9983226593473514
15519,1,0.00015248551387618176,0.9984751448612276
15566,1,0.00015248551387618176,0.9986276303751037
15896,1,0.00015248551387618176,0.9987801158889799
16024,1,0.00015248551387618176,0.998932601402856
17015,1,0.00015248551387618176,0.9990850869167321
17063,1,0.00015248551387618176,0.9992375724306083
18149,1,0.00015248551387618176,0.9993900579444844
18930,1,0.00015248551387618176,0.9995425434583606
20207,1,0.00015248551387618176,0.9996950289722367
21491,1,0.00015248551387618176,0.9998475144861129
34273,1,0.00015248551387618176,0.999999999999989
