route_a,route_b
上海公共平台仓17号库,021F008
成都青白江保税平台协同仓1号库,028F020
上海商超B米面粮油仓2号库,021Y072
广州维达商超协同仓,020F060
广州商超B个护清洁仓T4号库,757F003
757F003,757F042
上海医疗器械仓3号库,021Y072
广州百货B家具建材仓2号库,757F042
上海服装仓3号库,021Y072
厦门海沧保税仓1号库,592F009
592F009,595F005
595F005,021F008
北京图书音像仓1号库,316F011
022F021,021F008
北京商超B牛奶水饮仓7号库,316F003
成都服装仓2号库（新）,028F020
广州3CB电脑办公仓1号库,021F008
北京商超A休闲食品仓6号库,022F024
022F024,316F011
316F031,316F011
重庆巴南保税综合仓1号库,028F078
028F078,028F020
深圳生活小电仓1号库,021F008
上海百货B家居日用仓1号库,021Y072
深圳综合B仓1号库,021F008
深圳商超B牛奶水饮仓1号库,021F008
广州百货B家居日用仓7号库,021F008
广州服装仓2号库,021F008
成都百货B仓1号库,028F020
广州商超A个护清洁仓3号库,021F008
东莞亚一综合B仓4号库,021Y072
上海生鲜仓2号库,021Y072
广州百货B家居日用仓2号库,020F242
广州商超B牛奶水饮仓3号库,021F008
上海亚一公共平台仓5号库,512F008
广州3CB电脑办公仓4号库,769F001
上海公共平台仓13号库,021F008
上海服装仓6号库,512F055
上海商超B牛奶水饮仓T6号库,021F008
上海亚一商超B牛奶水饮仓2号库,021Y072
上海商超A个护清洁仓9号库,021F008
上海洁柔商超协同仓（新）,512F008
上海亚一百货B家居日用仓2号库,021Y072
沈阳公共平台仓2号库,024F001
024F001,024F004
郑州亚一商超A休闲食品仓1号库,371F026
371F026,371F027
天津药品仓1号库,316F011
027F006,027F002
武汉商超B母婴玩具仓1号库,027F060
027F060,027F002
武汉商超B牛奶水饮仓2号库,027F006
武汉商超A个护清洁仓1号库,027F006
武汉亚一3CB电脑办公仓1号库,027F060
武汉商超B米面粮油仓2号库,027F010
武汉商超A个护清洁仓2号库,027F060
760F001,512F012
上海商超B米面粮油仓2号库,021F053
上海公共平台仓4号库,021F053
苏州花集分拣中心,021F008
010F017,010F172
上海亚一商超A休闲食品仓5号库,021Y072
上海亚一商超B个护清洁仓1号库,021Y072
上海公共平台仓15号库,571F099
上海外高桥保税综合仓1号库,021F008
上海商超A个护清洁仓11号库,021F008
北京百货B车旅用品仓1号库,010F172
北京百货B家居日用仓3号库,010F172
上海公共平台仓9号库,571F099
广州公共平台仓16号库,757F003
武汉亚一百货B家居日用仓1号库,027F010
上海商超B米面粮油仓3号库,512F004
北京服装仓2号库,010F172
广州金佰利商超协同仓,021Y072
791F013,027F074
西安亚一3CA仓1号库,029F678
上海百货B家居日用仓7号库,512F055
021F053,021F008
上海3CA电脑办公仓3号库,021Y072
上海公共平台仓15号库,021F053
上海商超A个护清洁仓9号库,021F053
西宁本地仓1号库,971F002
971F002,029F270
北京服装仓8号库,010F172
苏州昆山分拣中心,021F008
上海商超B米面粮油仓2号库,512F004
上海亚一3CA电脑办公仓1号库,021Y072
北京天竺保税药品协同仓2号库,010F017
上海品星商超协同仓,021Y072
广州百货B家具建材仓2号库,021F008
广州综合仓1号库,021F008
北京百货A家具建材仓1号库,010F069
010F069,PEK
PEK,SHA
SHA,021F008
广州服装仓1号库,021F008
021F053,512F004
574F003,579F010
上海公共平台仓17号库,021F053
021F053,021Y301
021Y301,021F051
武汉亚一综合B仓1号库,027F060
中山传站车队,755F035
755F035,760F001
760F001,769F001
上海公共平台仓22号库,571F022
上海公共平台仓12号库,021F008
宁波北仑保税综合仓1号库,571F022
上海公共平台仓10号库,021F008
沈阳亚一商超A个护清洁仓3号库,024F004
沈阳亚一百货A家居日用仓1号库,024F004
杭州亚一安踏仓KA仓2号库,057F021
057F021,571F022
北京服装仓4号库,010F172
广州南沙保税平台协同仓1号库,769F001
深圳兴围营业部,755F009
广州服装仓5号库,769F001
广州安踏KA仓3号库,757F003
沈阳亚一3CA仓1号库,024F043
024F043,024F004
上海公共平台仓12号库,021F053
上海公共平台仓13号库,021F053
512F008,512F065
上海金佰利商超协同仓,021F008
北京商超B母婴玩具仓2号库,316F003
德州商超A个护清洁仓4号库,531F001
531F001,316F021
上海浦东分拣中心,021Y072
769F001,020F242
上海公共平台仓16号库,571F099
金华金义保税平台协同仓1号库,571F098
571F098,021F008
上海商超B母婴玩具仓T2号库,021Y072
上海服装仓6号库,512F065
武汉亚一商超A个护清洁仓3号库,027F060
北京服装仓2号库,010F017
010F017,512F012
武汉亚一3CA数码通讯仓2号库,027F010
769F001,755F022
755F022,SZX
SZX,NKG
NKG,025F002
025F002,025F005
武汉东西湖保税综合仓1号库,027F006
北京百货A家居日用仓2号库,010F172
成都百货B家居日用仓2号库,028F029
武汉服装仓1号库,027F074
上海商超B牛奶水饮仓5号库,021Y072
深圳综合B仓1号库,755F009
上海百货B家具建材仓1号库,021Y072
深圳全球购驻场营业点,755F009
成都亚一服装仓1号库（新）,028F020
广州商超A休闲食品仓4号库,757F042
广州宝洁商超协同仓,769F001
广州商超B米面粮油仓1号库,020F242
广州服装仓2号库,769F001
广州商超B牛奶水饮仓1号库（新）,021F008
广州公共平台仓16号库,CPZ40FS
571F022,021Y072
广州公共平台仓4号库,757F042
武汉服装仓1号库,027F060
武汉亚一厨房小电仓1号库,027F060
上海外高桥保税综合仓1号库,021F051
022F021,010F022
上海公共平台仓9号库,021F008
上海服装仓6号库,571F099
上海商超B母婴玩具仓3号库,021F053
上海公共平台仓9号库,021F053
上海商超B个护清洁仓T2库,021Y072
广州服装仓5号库,020F008
广州服装仓3号库,020F008
021F015,021Y072
上海商超B米面粮油仓3号库,021Y072
上海维达商超协同仓,021Y072
上海公共平台仓11号库,021F008
广州百货B家居日用仓4号库,760F001
上海周黑鸭无界工厂仓,513F002
北京图书音像仓1号库,010F017
010F017,022F016
022F016,PKX
PKX,WUX
WUX,512F078
512F078,021F008
北京百货B家具建材仓5号库,010F172
武汉商超B母婴玩具仓2号库,021Y072
济南医疗器械仓1号库,316F021
316F021,021F008
济南综合A仓1号库,531F001
广州百货B家居日用仓2号库,020F008
广州商超B米面粮油仓5号库,020F008
北京商超B米面粮油仓2号库,022F015
022F015,316F011
316F011,021Y072
北京商超B个护清洁仓1号库,022F005
020F008,025F002
广州百货B家居日用仓1号库,760F001
广州3CA电脑办公仓1号库,760F001
上海品利商超协同仓,021Y072
广州商超B牛奶水饮仓7号库,021Y072
广州商超A休闲食品仓2号库,021Y072
天津药品仓1号库,PEK
抚州药品仓1号库,027F074
广州药品仓2号库,020F041
020F041,769F001
上海商超B牛奶水饮仓6号库,021Y072
广州商超B宠物园艺仓1号库,757F003
上海亚一商超B米面粮油仓2号库,512F065
上海公共平台仓3号库,021F053
德州综合A仓1号库,531F001
北京百货B家居日用仓1号库,022F022
上海3CA电脑办公仓3号库,512F004
上海百货B车旅用品仓1号库,021Y072
020F008,755F002
755F002,769F001
广州商超B牛奶水饮仓6号库,020F060
北京商超A个护清洁仓5号库,010F172
广州服装仓6号库,020F008
北京商超B母婴玩具仓1号库,010F172
北京商超B母婴玩具仓4号库,010F017
北京公共平台仓13号库,316F004
316F004,316F011
上海新通路仓1号库,021F008
北京金佰利商超协同仓,010F172
022F002,551F011
西安药品仓1号库,029F270
021F051,021Y072
广汉药品仓1号库,028F020
德州服装仓1号库,316F021
大连FDC仓B1库,411F002
411F002,411F003
411F003,024F004
武汉商超B个护清洁仓3号库,027F074
北京百货B家居日用仓5号库,021Y072
上海商超B母婴玩具仓3号库,512F004
天津港保税综合仓2号库,022F002
上海生鲜仓4号库,021Y072
上海公共平台仓15号库,021Y072
北京顺义分拣中心,512F055
广州药品仓2号库,021Y072
上海商超B牛奶水饮仓T1库,021Y072
广州商超B牛奶水饮仓2号库,020F242
沈阳百货B家居日用仓3号库,024F001
上海百货B车旅用品仓1号库,817F001
817F001,028F020
316F011,010F013
010F013,010F017
广州商超B米面粮油仓5号库,020F242
028F020,021F051
武汉百货B家具建材仓1号库,027F006
武汉亚一商超A休闲食品仓3号库,021Y072
武汉亚一商超B个护清洁仓2号库,027F060
武汉亚一公共平台仓11号库,027F060
上海金红叶商超协同仓,512F012
武汉商超B母婴玩具仓2号库,027F010
371F027,551F002
551F002,551F011
上海亚一商超B个护清洁仓2号库,021Y072
武汉百货B家居日用仓5号库,027F006
广州商超B牛奶水饮仓2号库,021Y072
成都百货B仓1号库,028F029
广州金红叶商超协同仓,020F060
020F008,021Y072
北京百货A仓2号库,010F013
010F013,022F016
西安亚一商超A个护清洁仓2号库,029F678
029F270,512F012
022F022,022F002
022F002,512F004
上海商超B母婴玩具仓5号库,021Y072
上海商超A休闲食品仓T6号库,512F085
512F085,512F012
上海亚一商超B米面粮油仓2号库,512F008
上海共享仓2号库,021Y072
020F009,020F242
020F242,020F015
020F015,CAN
CAN,NKG
上海百货B家居日用仓7号库,512F004
广州3CB电脑办公仓1号库,021Y072
广州公共平台仓15号库（新）,757F042
广州百货B家居日用仓1号库,021Y072
武汉亚一商超B宠物园艺仓1号库,027F060
杭州亚一商超B米面粮油仓1号库,057F021
广州公共平台仓15号库（新）,021F008
760F001,757F042
赣州本地仓1号库,797F001
797F001,791F013
731F010,021F008
上海服装仓2号库,021Y072
贵阳安踏KA仓3号库,851F002
851F002,028F020
512F008,021Y072
,316F011
,760F001
广州商超A个护清洁仓7号库,757F003
成都亚一医疗器械仓1号库,028F020
成都亚一综合B仓1号库,028F029
上海亚一百货A家具建材仓2号库,021Y072
重庆亚一FDC仓A1库,023F003
023F003,028F078
北京服装仓1号库,010F172
北京服装仓9号库,010F172
上海商超A个护清洁仓6号库,512F004
北京百货A家具建材仓1号库,021Y072
上海亚一商超A个护清洁仓8号库,512F008
广州药品仓2号库,020F008
上海公共平台仓16号库,021Y072
北京服装仓1号库,021Y072
荆州本地仓1号库,071F001
071F001,716F002
716F002,551F011
成都商超A个护清洁仓5号库,028F020
广州3CB电脑办公仓1号库,757F003
沈阳亚一百货B家居日用仓1号库,024F043
德州百货B家具建材仓1号库,316F021
厦门海沧保税仓1号库,595F005
广州沃尔玛KA仓2号库,757F003
上海商超B牛奶水饮仓T6号库,512F055
上海亚一商超A个护清洁仓2号库,021Y072
武汉健康仓1号库,027F074
上海百货B家居日用仓2号库,021Y072
广州百货B家居日用仓7号库,020F242
上海商超B宠物园艺仓2号库,021Y072
成都百货A仓1号库（临时）,028F020
广州公共平台仓5号库,757F042
广州商超B牛奶水饮仓3号库,021Y072
上海商超A个护清洁仓12号库,021F008
010F022,010F013
010F013,512F065
791F013,512F065
北京服装仓7号库,010F017
北京联想3C协同仓,010F017
316F021,512F012
北京商超B个护清洁仓6号库,316F018
316F018,316F011
成都亚一商超A休闲食品仓1号库,028F020
北京商超B母婴玩具仓1号库,010F017
上海商超A个护清洁仓7号库,512F055
上海公共平台仓17号库,571F099
316F003,021F008
北京北斗商超A休闲食品仓1号库,022F021
北京商超B米面粮油仓1号库,010F017
北京厨房小电仓1号库,022F005
022F005,316F011
上海商超A休闲食品仓3号库,021Y072
上海百货B家居日用仓5号库,021F053
上海商超B牛奶水饮仓3号库,021Y072
上海公共平台仓14号库,021F053
592F009,512F011
512F011,021F008
广州百货B家居日用仓4号库,757F003
512F004,512F065
广州黄埔保税综合仓1号库,020F008
广州商超B牛奶水饮仓4号库,020F008
020F008,020F060
上海商超B牛奶水饮仓4号库,021Y072
中山传站车队,760F001
上海尤妮佳无界工厂仓,021F008
512F008,021F009
021F009,021F052
021F052,021F008
北京综合仓1号库,010F172
衡水本地仓1号库,318F001
318F001,316F023
316F023,527F005
上海亚一生活小电仓2号库,021Y072
广州商超A个护清洁仓1号库,020F008
010F013,010F069
PEK,HGH
HGH,057F021
上海商超B牛奶水饮仓T1号库,021F008
上海曼伦商超协同仓,021Y072
027F002,731F001
上海公共平台仓12号库,021Y072
厦门海沧保税仓1号库,021Y072
024F004,512F055
上海水果生鲜协同仓1号库,021F008
武汉生活小电仓4号库,027F006
上海宝胜KA仓3号库,512F055
上海百货B家居日用仓4号库,021Y072
上海医疗器械仓1号库（新）,021Y072
重庆生鲜仓1号库,021Y072
广州商超B米面粮油仓1号库,021Y072
027F074,371F026
027F060,021F008
宿迁亚一FDC仓A2库,527F001
昆明FDC仓B1库,871F002
871F002,028F020
上海商超B牛奶水饮仓4号库,512F013
512F013,021F053
上海商超B母婴玩具仓T2号库,021F053
北京百货A仓2号库,010F069
SHA,512F007
512F007,021F008
010F172,010F022
316F011,010F172
